,lost_concepts
968,((hyp:tok:coffee OR hyp:tok:pillow) OR hyp:tok:elephant)
969,((hyp:tok:gesturing OR pre:tok:headscarf) OR pre:tok:form)
970,(hyp:tok:gesturing OR pre:tok:headscarf)
971,(hyp:tok:chasing OR hyp:tok:playing)
972,(((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat) OR hyp:tok:buildings)
973,(hyp:tok:professional OR pre:tok:ceremony)
974,((((pre:tok:curb OR pre:tok:raining) AND hyp:tok:in) OR hyp:tok:hoops) OR pre:tok:birthday)
975,((((hyp:tok:at OR hyp:tok:sitting) OR hyp:tok:swimming) AND (NOT pre:tok:at)) OR hyp:tok:driving)
976,(hyp:tok:writing OR pre:tok:lunch)
977,((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home) OR hyp:tok:they)
978,((((hyp:tok:asleep OR hyp:tok:customer) OR pre:tok:similar) AND (NOT oth:overlap:overlap25)) OR hyp:tok:referee)
979,((((hyp:tok:down OR hyp:tok:ground) OR hyp:tok:swimming) OR pre:tok:road) AND (NOT pre:tok:down))
980,(((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside)) AND (NOT oth:overlap:overlap75))
981,((((hyp:tok:sad OR pre:tok:snow) OR hyp:tok:gesturing) OR pre:tok:easter) OR pre:tok:shoveling)
982,((hyp:tok:bicycle AND hyp:tok:skateboarder) AND hyp:tok:his)
983,((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is))
984,(hyp:tok:guys OR pre:tok:instruments)
985,(hyp:tok:bowls OR hyp:tok:knitting)
986,((NOT pre:tok:his) AND oth:overlap:overlap75)
987,((hyp:tok:friends OR hyp:tok:running) OR hyp:tok:chasing)
988,((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks)
989,((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard)
990,(((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by)
991,((hyp:tok:in OR pre:tok:while) OR pre:tok:race)
992,((pre:tok:man OR pre:tok:with) OR hyp:tok:child)
993,((((hyp:tok:men AND hyp:tok:team) OR hyp:tok:trumpet) AND (NOT pre:tok:in)) AND (NOT pre:tok:shirt))
994,(((hyp:tok:are AND hyp:tok:down) OR hyp:tok:truck) AND (NOT oth:overlap:overlap50))
995,(((hyp:tok:laying OR hyp:tok:seated) OR hyp:tok:pub) OR hyp:tok:fell)
996,((((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom) OR hyp:tok:tv) OR hyp:tok:plane)
997,(((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat) AND (NOT pre:tok:on))
998,(hyp:tok:suburban OR pre:tok:skiing)
999,((hyp:tok:bent OR hyp:tok:shade) OR hyp:tok:elephant)
1000,(hyp:tok:saw OR pre:tok:swimsuit)
1001,((hyp:tok:pots OR pre:tok:camping) OR pre:tok:meet)
1002,((((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes) OR hyp:tok:colorful) AND (NOT pre:tok:with))
1003,(((hyp:tok:outdoors AND pre:tok:in) OR hyp:tok:screaming) AND oth:overlap:overlap25)
1004,((((hyp:tok:gesturing OR pre:tok:headscarf) OR pre:tok:form) OR pre:tok:sister) OR pre:tok:wild)
1005,(((hyp:tok:about OR hyp:tok:for) OR hyp:tok:son) OR hyp:tok:sad)
1006,(hyp:tok:couch OR hyp:tok:swimming)
1007,((hyp:tok:asleep OR hyp:tok:customer) OR pre:tok:similar)
1008,(hyp:tok:helps OR hyp:tok:tunnel)
1009,(hyp:tok:mirror OR hyp:tok:sandwiches)
1010,((((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk) AND hyp:tok:at) AND (NOT pre:tok:in))
1011,((((hyp:tok:pushing OR pre:tok:raises) OR pre:tok:thinking) OR hyp:tok:wild) AND (NOT pre:tok:man))
1012,(hyp:tok:is AND hyp:tok:park)
1013,((((hyp:tok:eating OR hyp:tok:swimming) OR hyp:tok:space) OR hyp:tok:coffee) OR hyp:tok:sister)
1014,(hyp:tok:in OR pre:tok:walking)
1015,(((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead) AND (NOT pre:tok:is))
1016,(hyp:tok:for OR hyp:tok:their)
1017,(hyp:tok:- AND pre:tok:while)
1018,(((pre:tok:are AND pre:tok:this) OR pre:tok:chinese) OR hyp:tok:filled)
1019,((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf)
1020,((hyp:tok:cafe OR hyp:tok:sleeps) OR hyp:tok:blanket)
1021,(hyp:tok:giant AND pre:tok:at)
1022,(hyp:tok:you AND pre:tok:-)
1023,((((hyp:tok:cafe OR hyp:tok:sleeps) OR hyp:tok:blanket) OR hyp:tok:cats) AND (NOT oth:overlap:overlap50))
1024,(hyp:tok:smiling AND pre:tok:smile)
1025,((NOT hyp:tok:riding) AND (hyp:tok:drinking OR pre:tok:riding))
1026,(((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard) OR pre:tok:skateboarding)
1027,((NOT oth:overlap:overlap25) AND (hyp:tok:least OR pre:tok:put))
1028,((((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is) OR pre:tok:training) AND (NOT hyp:tok:in))
1029,((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman))
1030,((((hyp:tok:at OR hyp:tok:dance) OR pre:tok:attached) OR pre:tok:candy) AND (NOT hyp:tok:home))
1031,((((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is)) OR hyp:tok:they) AND (NOT hyp:tok:there))
1032,(hyp:tok:at OR hyp:tok:her)
1033,((hyp:tok:for OR hyp:tok:park) OR pre:tok:together)
1034,((((NOT pre:tok:in) AND hyp:tok:bass) OR pre:tok:skydiving) AND pre:tok:with)
1035,((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad)
1036,((((hyp:tok:for OR hyp:tok:park) OR pre:tok:together) AND (NOT pre:tok:and)) OR hyp:tok:dancing)
1037,(((NOT pre:tok:and) AND (hyp:tok:pets OR hyp:tok:swimming)) AND (NOT oth:overlap:overlap50))
1038,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:tall)
1039,((NOT pre:tok:with) AND hyp:tok:nobody)
1040,((hyp:tok:indoors OR hyp:tok:inside) OR hyp:tok:present)
1041,(hyp:tok:with AND pre:tok:couple)
1042,(pre:tok:curb OR pre:tok:raining)
1043,((pre:tok:painted AND pre:tok:to) OR hyp:tok:speed)
1044,((((hyp:tok:seated OR pre:tok:railing) AND pre:tok:are) OR hyp:tok:6) OR pre:tok:meet)
1045,((NOT hyp:tok:is) AND (hyp:tok:outside OR pre:tok:photographer))
1046,((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare)
1047,(((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are) AND (NOT oth:overlap:overlap25))
1048,(hyp:tok:exercising AND pre:tok:her)
1049,((hyp:tok:band AND pre:tok:guitars) OR hyp:tok:scarves)
1050,(((hyp:tok:project OR hyp:tok:puzzle) AND pre:tok:man) AND (NOT hyp:tok:two))
1051,((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan)
1052,(NOT pre:tok:toddler)
1053,((NOT pre:tok:wearing) AND (hyp:tok:human OR hyp:tok:wearing))
1054,((((NOT hyp:tok:riding) AND (hyp:tok:drinking OR pre:tok:riding)) OR hyp:tok:blanket) OR pre:tok:waves)
1055,(((hyp:tok:gesturing OR pre:tok:headscarf) OR pre:tok:form) OR pre:tok:sister)
1056,((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound)
1057,(((NOT pre:tok:and) AND hyp:tok:microphone) AND (NOT pre:tok:him))
1058,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog)
1059,((((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one) OR hyp:tok:outside) AND (NOT pre:tok:walking))
1060,(((hyp:tok:tall AND pre:tok:and) OR hyp:tok:river) OR hyp:tok:bamboo)
1061,((((pre:tok:hikers OR pre:tok:lane) OR pre:tok:slope) OR pre:tok:activity) OR hyp:tok:directing)
1062,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:wearing))
1063,(((hyp:tok:jumping OR pre:tok:pet) AND hyp:tok:dog) OR hyp:tok:talks)
1064,((((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare) OR hyp:tok:maroon) OR hyp:tok:balance)
1065,(((((NOT hyp:tok:to) AND oth:overlap:overlap25) OR pre:tok:to) AND (NOT hyp:tok:for)) AND (NOT hyp:tok:while))
1066,((((hyp:tok:about OR hyp:tok:for) OR hyp:tok:son) OR hyp:tok:sad) OR hyp:tok:festival)
1067,(((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance) OR pre:tok:unicycle)
1068,((hyp:tok:eating OR hyp:tok:swimming) OR hyp:tok:space)
1069,(oth:overlap:overlap50 OR pre:tok:two)
1070,(((NOT pre:tok:with) AND hyp:tok:nobody) AND (NOT pre:tok:woman))
1071,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:tall) OR pre:tok:back)
1072,(hyp:tok:friends OR hyp:tok:running)
1073,((((hyp:tok:saw OR pre:tok:swimsuit) OR pre:tok:army) AND (NOT pre:tok:is)) OR pre:tok:rescue)
1074,((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat)
1075,(((hyp:tok:at OR hyp:tok:in) OR hyp:tok:running) OR pre:tok:bicycle)
1076,(hyp:tok:wares AND pre:tok:are)
1077,(((hyp:tok:in AND hyp:tok:riding) OR pre:tok:boards) AND (NOT pre:tok:and))
1078,((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza)
1079,((hyp:tok:getting AND pre:tok:gathering) OR pre:tok:swims)
1080,(hyp:tok:is OR pre:tok:are)
1081,((((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks) OR hyp:tok:photographers)
1082,((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working))
1083,((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting))
1084,(((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two)) AND (NOT hyp:tok:people))
1085,(hyp:tok:couch OR hyp:tok:home)
1086,((((NOT hyp:tok:to) AND oth:overlap:overlap25) OR pre:tok:to) AND (NOT hyp:tok:for))
1087,(((pre:tok:painted AND pre:tok:to) OR hyp:tok:speed) OR hyp:tok:bin)
1088,(((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR pre:tok:play)
1089,((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:eats)
1090,((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outdoors) OR hyp:tok:people) AND (NOT pre:tok:wearing))
1091,((hyp:tok:handed OR pre:tok:singer) OR hyp:tok:museum)
1092,((hyp:tok:park OR pre:tok:suspenders) AND pre:tok:shirt)
1093,(hyp:tok:female OR hyp:tok:video)
1094,((((hyp:tok:at OR hyp:tok:in) OR hyp:tok:running) OR pre:tok:bicycle) OR pre:tok:snow)
1095,(((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25)
1096,((((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person) OR pre:tok:stand) OR hyp:tok:competing)
1097,(((hyp:tok:there AND pre:tok:to) OR pre:tok:crane) OR pre:tok:scale)
1098,(((NOT oth:overlap:overlap75) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:'s)
1099,(((hyp:tok:coffee OR hyp:tok:pillow) OR hyp:tok:elephant) OR hyp:tok:eats)
1100,(hyp:tok:finishing OR hyp:tok:shoveling)
1101,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:during) AND (NOT pre:tok:one))
1102,(((((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man)) AND (NOT hyp:tok:there)) AND (NOT pre:tok:woman))
1103,(hyp:tok:jumping OR pre:tok:pet)
1104,(((hyp:tok:bed OR hyp:tok:police) OR hyp:tok:laying) OR pre:tok:washes)
1105,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT hyp:tok:person)) AND (NOT hyp:tok:his))
1106,((hyp:tok:middle AND hyp:tok:swimming) OR hyp:tok:tables)
1107,((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine)
1108,(((hyp:tok:jet OR hyp:tok:tea) OR pre:tok:fun) OR hyp:tok:rowboat)
1109,(((hyp:tok:horses AND hyp:tok:riding) OR hyp:tok:magazine) AND (NOT pre:tok:on))
1110,((hyp:tok:protective OR hyp:tok:shoot) OR hyp:tok:pretending)
1111,(((((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for) OR pre:tok:sitting) AND (NOT hyp:tok:sitting))
1112,(((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:eats) OR hyp:tok:n't)
1113,((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are)
1114,(hyp:tok:down OR pre:tok:stage)
1115,(hyp:tok:black AND hyp:tok:wearing)
1116,((hyp:tok:home AND pre:tok:from) AND hyp:tok:is)
1117,((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy)
1118,(((NOT pre:tok:in) AND (hyp:tok:inside AND pre:tok:man)) OR pre:tok:too)
1119,(((NOT pre:tok:man) AND (hyp:tok:nobody OR hyp:tok:nothing)) OR pre:tok:everywhere)
1120,((((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling) AND hyp:tok:women)
1121,(((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with)) OR pre:tok:their)
1122,(((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man)
1123,(hyp:tok:drums OR hyp:tok:swimming)
1124,((hyp:tok:to OR oth:overlap:overlap75) OR hyp:tok:for)
1125,((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight)
1126,(((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is)) OR pre:tok:three)
1127,(hyp:tok:lighting OR hyp:tok:theater)
1128,(oth:overlap:overlap75 OR pre:tok:his)
1129,(((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib)
1130,(NOT pre:tok:holding)
1131,((NOT oth:overlap:overlap50) AND (hyp:tok:cat OR hyp:tok:eating))
1132,(hyp:tok:driving OR hyp:tok:field)
1133,((((NOT pre:tok:running) AND (hyp:tok:running OR hyp:tok:soccer)) OR hyp:tok:duck) AND (NOT pre:tok:white))
1134,((((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside)) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:his))
1135,((((hyp:tok:tall AND pre:tok:and) OR hyp:tok:river) OR hyp:tok:bamboo) AND (NOT pre:tok:is))
1136,((((pre:tok:blue OR pre:tok:up) OR pre:tok:their) OR hyp:tok:his) AND (NOT oth:overlap:overlap75))
1137,(hyp:tok:human AND pre:tok:wearing)
1138,(hyp:tok:people AND pre:tok:european)
1139,(hyp:tok:are AND hyp:tok:sleeping)
1140,(((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded) OR hyp:tok:wetsuit)
1141,((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller)
1142,(((pre:tok:night AND pre:tok:walking) OR hyp:tok:guitars) OR hyp:tok:lamp)
1143,(hyp:tok:bent OR hyp:tok:shade)
1144,((hyp:tok:women AND pre:tok:men) OR hyp:tok:buys)
1145,(pre:tok:people OR pre:tok:with)
1146,((((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us)) OR hyp:tok:fake) AND (NOT pre:tok:-))
1147,(((hyp:tok:indoors OR hyp:tok:inside) OR hyp:tok:present) OR hyp:tok:outfits)
1148,((((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf) OR hyp:tok:art) AND (NOT oth:overlap:overlap50))
1149,((((pre:tok:living OR pre:tok:shaving) OR pre:tok:bearded) OR hyp:tok:sport) OR hyp:tok:sings)
1150,((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered)
1151,(((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal) OR hyp:tok:snowshoes)
1152,(((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is)) OR hyp:tok:written)
1153,(NOT pre:tok:boy)
1154,(hyp:tok:kisses AND pre:tok:two)
1155,((((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with)) OR hyp:tok:carrot)
1156,(NOT pre:tok:at)
1157,(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue)) AND (NOT pre:tok:yellow))
1158,((hyp:tok:outdoors AND pre:tok:in) OR hyp:tok:screaming)
1159,(((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep) OR hyp:tok:empty)
1160,(((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat) OR hyp:tok:bed)
1161,(((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk) AND hyp:tok:at)
1162,((((hyp:tok:handed OR pre:tok:singer) OR hyp:tok:museum) OR hyp:tok:subway) AND (NOT hyp:tok:people))
1163,(((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green) AND (NOT pre:tok:on))
1164,(((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel)
1165,((((hyp:tok:laying OR hyp:tok:seated) OR hyp:tok:pub) OR hyp:tok:fell) OR hyp:tok:bedroom)
1166,((((NOT pre:tok:on) AND hyp:tok:on) OR hyp:tok:eating) OR hyp:tok:bus)
1167,(((((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:compete) OR hyp:tok:marathon) AND (NOT pre:tok:and))
1168,(((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) AND (NOT hyp:tok:people))
1169,((pre:tok:living OR pre:tok:shaving) OR pre:tok:bearded)
1170,((((NOT hyp:tok:man) AND (hyp:tok:years OR pre:tok:nap)) OR pre:tok:musician) AND (NOT pre:tok:one))
1171,((NOT pre:tok:and) AND hyp:tok:microphone)
1172,(hyp:tok:men AND pre:tok:smile)
1173,((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig)
1174,((((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair) AND (NOT pre:tok:sitting)) AND (NOT pre:tok:sits))
1175,(hyp:tok:naked AND pre:tok:wig)
1176,(((hyp:tok:suburban OR pre:tok:skiing) OR hyp:tok:clouds) OR hyp:tok:terrain)
1177,(hyp:tok:older AND pre:tok:holding)
1178,(((hyp:tok:are AND pre:tok:course) AND hyp:tok:in) AND (NOT pre:tok:is))
1179,((hyp:tok:human AND pre:tok:wearing) OR pre:tok:turns)
1180,(hyp:tok:groom OR hyp:tok:toothbrush)
1181,((hyp:tok:carrot OR hyp:tok:yelling) OR hyp:tok:maintenance)
1182,(hyp:tok:activity OR hyp:tok:least)
1183,((pre:tok:hikers OR pre:tok:lane) OR pre:tok:slope)
1184,((((hyp:tok:bedroom OR hyp:tok:stuck) OR hyp:tok:clock) AND (NOT pre:tok:in)) OR hyp:tok:pets)
1185,((((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone) OR hyp:tok:cardboard) OR hyp:tok:whose)
1186,(pre:tok:book AND pre:tok:in)
1187,(((hyp:tok:suit OR pre:tok:courtyard) OR hyp:tok:robe) OR pre:tok:bus)
1188,(hyp:tok:eating AND pre:tok:beach)
1189,(NOT pre:tok:street)
1190,(((NOT pre:tok:his) AND oth:overlap:overlap75) AND (NOT hyp:tok:are))
1191,((hyp:tok:jumping OR pre:tok:pet) AND hyp:tok:dog)
1192,(((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming)
1193,((NOT pre:tok:in) AND hyp:tok:discussing)
1194,((NOT pre:tok:on) AND hyp:tok:ground)
1195,(hyp:tok:his OR pre:tok:two)
1196,((((hyp:tok:for OR hyp:tok:their) OR hyp:tok:home) OR hyp:tok:to) AND (NOT pre:tok:shirt))
